,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,6651.847490787506,5.296056919416804,3.88137748068685,0.640994061836518,47.24508806095002,0.27997279723991525
1,1.0,6715.00382399559,5.346340624200311,1.500066499421551,0.8506688727441629,1.6356429674538078,0.8392714968152876
2,2.0,6757.688647985458,5.3803253566763205,1.1373244938292322,0.8861444234341825,7.974868124078034,0.4938627919320598
3,3.0,6755.882000207901,5.378886942840685,0.9975610660614481,0.900106571788748,1.1941516287387557,0.8814026008492577
4,4.0,6759.1629004478455,5.381499124560387,0.9098526699954916,0.9084270501592353,4.682220282448325,0.6324475849256899
5,5.0,6809.421518802643,5.421513948091276,0.8399831472308772,0.9149353934447977,3.8431390377746264,0.6488438826963915
6,6.0,6833.749972105026,5.44088373575241,0.7943045163800002,0.9193599887208086,0.9619138235356778,0.9044171311040345
7,7.0,6824.894248008728,5.433833000006949,0.7511833641844191,0.9234715034501061,0.9473437842954496,0.9048815684713374
8,8.0,6777.886534452438,5.396406476474871,0.7099144911263019,0.9276887606157119,0.9195408557132361,0.9101313694267512
9,9.0,6770.898573875427,5.390842813595086,0.6912512335522919,0.9292437964437374,0.8249538344847169,0.9194615843949043
