,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,5624.182114362717,4.477852001881144,3.3307782654549665,0.6715722863588108,2.865789753046765,0.7159302016985138
1,1.0,5646.608124017715,4.495707105109646,7.505480741239657,0.4673670548036093,5.835859261310784,0.5135350318471349
2,2.0,5606.623019218445,4.463871830587934,7.410146945601056,0.47055798832271767,5.723027362185679,0.5194068471337581
3,3.0,5632.972620487213,4.484850812489819,7.308270955541332,0.4725256269904465,5.673821085957205,0.520866507430997
4,0.0,5827.123304843903,4.639429382837502,1.8205982025261898,0.813117867569003,1.2651427748381712,0.8717406449044582
5,1.0,6063.293853521347,4.827463259173047,1.4574930432495798,0.8486348858811039,1.2528607994555288,0.8736896231422507
6,2.0,6050.475226163864,4.817257345671866,1.4602992828389643,0.8485208499203818,1.2495965235836946,0.8731837181528673
7,3.0,5819.704212665558,4.633522462313342,1.4601700171163887,0.8484130341029718,1.2485411909592758,0.8734325238853511
8,4.0,5941.868360996246,4.730786911621215,1.4547055960650657,0.8485125563959663,1.2467314533557101,0.8734408174097671
9,5.0,5831.004337310791,4.642519376839802,1.4509789480525217,0.8494725318471329,1.240982984471473,0.8747677813163489
10,6.0,5848.783486604691,4.656674750481441,1.4446349600033395,0.8501049130838623,1.243107778085455,0.8736647425690015
11,7.0,5860.080287218094,4.665669018485744,1.446577946091913,0.8495658339968145,1.2396243437175538,0.8742535828025476
12,8.0,5901.08114862442,4.698313016420717,1.4459578113476181,0.8494704584660288,1.2381064159570225,0.8746267914012738
13,9.0,5844.0589735507965,4.652913195502227,1.4450442660481306,0.8502127289012733,1.2396639741624995,0.874319930997877
