,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,6467.99360871315,2.575863643454062,2.5734413519460144,0.7608356564449745,1.0700069482966212,0.8984209129511681
1,1.0,6501.6161341667175,2.589253737222906,0.8851096065145999,0.9153184322315133,0.810395198536052,0.9220076963906588
2,2.0,6496.571666002274,2.5872447893278667,0.6789040781323153,0.9351146621531942,0.6124042805853733,0.9428078556263277
3,3.0,6490.44873213768,2.5848063449373475,0.575120298707452,0.9449775155980354,0.5580328864929308,0.9468550955414003
4,4.0,6485.736187458038,2.582929584810051,0.5135422802894821,0.9511835424133828,0.5292278731799429,0.9506286491507441
5,5.0,6526.111644268036,2.5990090180278917,0.4614025628997576,0.9559853312093455,0.5105786738549448,0.9531996417197456
6,6.0,6497.187169313431,2.5874899121120793,0.4228060126129563,0.9596006737023763,0.4776229530537299,0.9549495753715495
7,7.0,6486.922107219696,2.5834018746394647,0.3917977704452547,0.9626870934554606,0.4481543378109575,0.958233811040339
8,8.0,6519.727212667465,2.5964664327628295,0.36377293928680265,0.9650745055090936,0.47966587519759585,0.954783704883227
9,9.0,6470.7321219444275,2.5769542500774305,0.3395356879184228,0.9671901964688667,0.43256480597956165,0.960365246815287
10,10.0,6499.161408185959,2.5882761482222056,0.32253239952452106,0.9687375547590603,0.42287564858984034,0.9602408439490442
11,11.0,6565.040320158005,2.6145122740573497,0.302681500653687,0.9708345778574288,0.43510525082208357,0.9610950769639048
12,12.0,6552.653429269791,2.609579223126161,0.2863391966965867,0.9720625082968286,0.4126797770713545,0.9622893444798295
13,13.0,6544.043993473053,2.606150535035067,0.2738060180939013,0.9732199157042343,0.3974718443135832,0.9627040207006342
14,14.0,6541.725783824921,2.605227313351223,0.25801359596823564,0.9747569029603089,0.3979068075775341,0.9643378450106146
