,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,6185.042081832886,4.924396561968858,3.4501875512729026,0.6770335721868368,5.965786580637002,0.5052829750530774
1,1.0,5800.377561569214,4.6181350012493745,1.7136585531151218,0.8271919785031845,1.7108467433388066,0.8278844877919325
2,2.0,5611.98318696022,4.468139480063869,1.710367892862885,0.8273412619426753,1.7044830100171884,0.8278679007430992
3,3.0,5694.143400430679,4.533553662763279,1.708297001992821,0.8277123971602979,1.6989350484529877,0.8286143179405534
4,4.0,5646.067391395569,4.495276585506026,1.7059840636838013,0.828185128052016,1.707821935984739,0.8280586518046712
5,5.0,5706.731985569,4.54357642163137,1.7035629875530862,0.8281187798566888,1.6977341079218373,0.8283240445859867
6,6.0,5721.132169485092,4.555041536214246,1.7015840236548405,0.8285334560774957,1.7105013158670657,0.8277020302547768
7,7.0,5716.130713701248,4.55105948543093,1.7025626076824347,0.8281581740976653,1.694524172717219,0.8286474920382156
8,8.0,5687.115637540817,4.527958310143963,1.7010639181752114,0.8285541898885358,1.695244851907727,0.8287138402335443
9,9.0,5711.644611120224,4.5474877477071844,1.7000340251785935,0.8291036358811025,1.6939919471361076,0.8292860934182581
