,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,5741.732443571091,4.571443028320932,2.457137437952552,0.7656519539543523,1.2612971611510797,0.8719396894904459
1,0.0,5818.327222585678,4.63242613263191,0.9859384539400696,0.9011246019108288,0.9023322255415901,0.9112509952229306
2,1.0,5813.511437892914,4.628591909150409,0.7449624605334488,0.9246243033439485,0.7500824494061956,0.9247030918259037
3,2.0,5779.97118473053,4.6018878859319505,0.5888955544704085,0.9396314357749487,0.7005324209832652,0.9322667860934171
4,3.0,5723.541298389435,4.556959632475665,0.4965528528069615,0.948609175955413,0.7043669471090102,0.9309729962845014
5,4.0,6047.265700101852,4.814701990526952,0.4197104585825638,0.9560069997346052,0.6610663270898116,0.9371184978768576
6,5.0,5751.26128411293,4.579029684803288,0.3490903329958392,0.9630958897292994,0.6769476339019312,0.9381468949044585
7,6.0,5809.809671640396,4.625644643025793,0.2937890843541664,0.9683228834925689,0.6659785565285451,0.9414394240976655
8,7.0,6378.314947843552,5.078276232359515,0.2478578272097667,0.9727951665339705,0.6942594516429172,0.9383625265392779
9,8.0,6412.099522590637,5.105174779132673,0.20481918772955418,0.9773026970541401,0.703920535440705,0.9436372080679403
10,9.0,5764.609097957611,4.589656925125486,0.17495406920885204,0.9804894838110413,0.7492217464775891,0.9420033837579614
